time (Gyr)	mass ratio	redshift	total BH mass (Msun)
0.40898050	0.0391214	11.147569	1331715.8
3.4272164	0.00894852	1.9163191	5.64555e+06
4.8572181	0.518367	1.2889581	2052161.9
6.8391276	0.920125	0.78793004	4282742.8
9.4501090	0.257822	0.39280810	7.85521e+06
0.42922650	0.191031	10.762340	1.48301e+06
0.44284802	0.0216442	10.519755	2376537.0
0.51438090	0.291805	9.4247567	4.66498e+06
0.53456050	0.728774	9.1605365	16892548.
0.66123532	0.0210938	7.8163985	2433657.9
0.70179081	0.854044	7.4729248	5285941.9
1.4440868	0.449772	4.2304264	7713976.9
1.6442119	0.478513	3.7944614	82245.4
3.0330567	0.00651045	2.1704665	7765905.0
3.7255117	0.679589	1.7536451	8.29909e+06
6.4437234	0.457031	0.86829283	25209480.
0.49524140	0.448432	9.6918367	2.58093e+06
0.71177407	0.0982999	7.3934162	559795.63
0.72302298	0.0278279	7.3060618	1853465.4
1.0353825	0.0493079	5.5347945	11919863.
1.1483230	0.683813	5.0977097	6467767.2
1.3030011	0.309518	4.6032768	2.24031e+06
2.1839979	0.159908	2.9609451	5946591.1
4.4401344	0.307917	1.4378887	16098654.
5.2081364	0.0161674	1.1786397	16359091.
8.1334867	0.0271334	0.56808631	6775066.7
8.9394165	0.369990	0.45621878	22412533.
8.9952646	0.302293	0.44902756	29187711.
13.115850	0.0642110	0.049400530	31064608.
0.54855797	0.349920	8.9868174	1.70916e+06
3.1419035	0.00762192	2.0950937	6954967.1
5.6615190	0.0163273	1.0524230	7084516.5
1.1550502	0.0257920	5.2838543	336181.25
